 par_1      , par_2      , par_3      , par_4      , par_5      , par_6      , par_7      , par_8      , par_9      , par_10     , f_value    
 +1.0000e+01, -3.0000e+01, +1.8242e+01, -3.0000e+01, +1.4471e+01, +8.6091e+00, +3.2000e+01, +1.8557e+02, +3.2000e+01, +2.8180e+00, +3.8936e-01
 +1.0000e+01, -3.0000e+01, +1.5817e+01, -2.5004e+01, +1.0000e+01, +5.7634e+00, +2.5120e+01, +1.9313e+02, +3.2000e+01, +1.1212e+01, +4.1218e-01
 +1.0000e+01, -3.0000e+01, +1.5941e+01, -3.0000e+01, +1.0000e+01, +8.0897e+00, +2.5062e+01, +1.9342e+02, +3.2000e+01, -1.9568e+01, +5.9156e-01
 +1.0000e+01, -3.0000e+01, +1.6643e+01, -3.0000e+01, +1.0000e+01, +1.0510e+01, +3.2000e+01, +1.9225e+02, +3.2000e+01, +6.5722e+00, +5.9989e-01
 +1.0000e+01, -3.0000e+01, +2.3767e+01, -3.0000e+01, +1.0000e+01, -3.1875e+00, +3.0164e+01, +1.7218e+02, +3.2000e+01, -1.7358e+01, +6.0412e-01
 +1.0000e+01, -3.0000e+01, +1.0000e+01, -2.7191e+01, +1.0000e+01, +1.1921e+01, +3.2000e+01, +2.0000e+02, +3.2000e+01, +8.0357e+00, +6.1259e-01
 +1.0000e+01, -3.0000e+01, +2.6255e+01, -3.0000e+01, +1.0000e+01, +9.6471e+00, +2.4895e+01, +1.9531e+02, +3.2000e+01, -1.2209e+00, +6.5815e-01
 +1.0000e+01, -3.0000e+01, +1.0000e+01, -3.0000e+01, +1.0000e+01, -6.3347e-02, +3.2000e+01, +1.6576e+02, +3.2000e+01, +3.5827e+00, +6.7725e-01
 +1.0000e+01, -3.0000e+01, +2.0257e+01, -3.0000e+01, +1.1299e+01, -1.6841e+00, +3.2000e+01, +1.5893e+02, +3.2000e+01, +1.7298e+01, +6.8009e-01
 +1.0453e+01, -2.9189e+01, +2.4117e+01, -3.0000e+01, +1.5750e+01, +1.2199e+01, +3.2000e+01, +2.0000e+02, +3.2000e+01, -2.2452e+01, +7.2345e-01
